ID,CURRENT_APPLICATION_NUMBER,CURRENT_INSTITUTE_NAME,INSTI_STATE,INSTITUTE_DISTRICT,INST_TYPE,PROGRAMME,AFFILIATING_UNIVERSITY,LEVEL_OF_COURSE,COURSE,ACCREDITATION_STATUS,ACCREDITATION_TYPE,ACCREDITATION_TILL,APPROVED_INTAKE
1853,1-9317727625,DR D Y PATIL INSTITUTE OF TECHNOLOGY ,Maharashtra,PUNE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,180
1854,1-9317727625,DR D Y PATIL INSTITUTE OF TECHNOLOGY ,Maharashtra,PUNE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
1855,1-9317727625,DR D Y PATIL INSTITUTE OF TECHNOLOGY ,Maharashtra,PUNE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1856,1-9317727625,DR D Y PATIL INSTITUTE OF TECHNOLOGY ,Maharashtra,PUNE,Private-Self Financing,MANAGEMENT,"University of Pune, Pune",POST GRADUATE,MBA,ACCREDITED,NBA,30-06-2021,60
1857,1-9317762282,SHRI VITHAL EDUCATION AND RESEARCH INSTITUTES S COLLEGE OF PHARMACY PANDHARPUR,Maharashtra,SOLAPUR,Private-Self Financing,PHARMACY,"Solapur University, Solapur",UNDER GRADUATE,PHARMACY,ACCREDITED,NBA,30-06-2022,60
1858,1-9317796412,A P SHAH INSTITUTE OF TECHNOLOGY,Maharashtra,THANE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Mumbai University, Mumbai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,120
1859,1-9317796412,A P SHAH INSTITUTE OF TECHNOLOGY,Maharashtra,THANE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Mumbai University, Mumbai",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2023,120
1860,1-9317796412,A P SHAH INSTITUTE OF TECHNOLOGY,Maharashtra,THANE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Mumbai University, Mumbai",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2023,120
1861,1-9317796412,A P SHAH INSTITUTE OF TECHNOLOGY,Maharashtra,THANE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Mumbai University, Mumbai",UNDER GRADUATE,COMPUTER ENGINEERING,ACCREDITED,NBA,30-06-2023,180
1862,1-9317814202,DATTA MEGHE INSTITUTE OF MANAGEMENT STUDIES,Maharashtra,NAGPUR,Private-Self Financing,MANAGEMENT,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",POST GRADUATE,MBA,ACCREDITED,NBA,30-06-2022,180
1863,1-9317743436,GOVERNMENT POLYTECHNIC AWASARI KHURD ,Maharashtra,PUNE,Government,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2023,60
1864,1-9317743436,GOVERNMENT POLYTECHNIC AWASARI KHURD ,Maharashtra,PUNE,Government,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,ELECTRONICS & TELE-COMMUNICATION ENGINEERING,ACCREDITED,NBA,30-06-2023,60
1865,1-9317743436,GOVERNMENT POLYTECHNIC AWASARI KHURD ,Maharashtra,PUNE,Government,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,60
1866,1-9317743436,GOVERNMENT POLYTECHNIC AWASARI KHURD ,Maharashtra,PUNE,Government,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,60
1867,1-9317798028,JNTUA COLLEGE OF ENGINEERING,Andhra Pradesh,ANANTAPUR,Government,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1868,1-9317798028,JNTUA COLLEGE OF ENGINEERING,Andhra Pradesh,ANANTAPUR,Government,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,CHEMICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1869,1-9317814330,BHARATI VIDYAPEETH S COLLEGE OF PHARMACY,Maharashtra,THANE,Private-Self Financing,PHARMACY,"Mumbai University, Mumbai",UNDER GRADUATE,PHARMACY,ACCREDITED,NBA,30-06-2021,60
1870,1-9317717589,S J C INSTITUTE OF TECHNOLOGY,Karnataka,CHIKABALLAPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
1871,1-9317717589,S J C INSTITUTE OF TECHNOLOGY,Karnataka,CHIKABALLAPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,180
1872,1-9317717589,S J C INSTITUTE OF TECHNOLOGY,Karnataka,CHIKABALLAPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,ACCREDITED,NBA,30-06-2021,180
1873,1-9317743661,PES MODERN COLLEGE OF PHARMACY FOR LADIES MOSHI PUNE ,Maharashtra,PUNE,Private-Self Financing,PHARMACY,"University of Pune, Pune",UNDER GRADUATE,PHARMACY,ACCREDITED,NBA,30-06-2022,100
1874,1-9317703632,STANLEY COLLEGE OF ENGINEERING TECHNOLOGY FOR WOMEN,Telangana,HYDERABAD,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Osmania University, Hyderabad",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
1875,1-9317703632,STANLEY COLLEGE OF ENGINEERING TECHNOLOGY FOR WOMEN,Telangana,HYDERABAD,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Osmania University, Hyderabad",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,120
1876,1-9317703632,STANLEY COLLEGE OF ENGINEERING TECHNOLOGY FOR WOMEN,Telangana,HYDERABAD,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Osmania University, Hyderabad",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2021,120
1877,1-9317703632,STANLEY COLLEGE OF ENGINEERING TECHNOLOGY FOR WOMEN,Telangana,HYDERABAD,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Osmania University, Hyderabad",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
1878,1-9317763035,FR C RODRIGUES INSTITUTE OF TECHNOLOGY,Maharashtra,THANE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Mumbai University, Mumbai",UNDER GRADUATE,ELECTRONICS AND TELECOMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
1879,1-9317763035,FR C RODRIGUES INSTITUTE OF TECHNOLOGY,Maharashtra,THANE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Mumbai University, Mumbai",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2022,60
1880,1-9317763035,FR C RODRIGUES INSTITUTE OF TECHNOLOGY,Maharashtra,THANE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Mumbai University, Mumbai",UNDER GRADUATE,COMPUTER ENGINEERING,ACCREDITED,NBA,30-06-2022,120
